# Points,Area
4930,1.00164
4940,1.00166
4950,1.00157
4960,1.00148
4970,1.0015
4980,1.00174
4990,1.00209
5000,1.00211
5010,1.00213
5020,1.00204
5030,1.00206
5040,1.00175
5050,1.00177
5060,1.00168
5070,1.0017
5080,1.00183
5090,1.00206
5100,1.00219
5110,1.00242
5120,1.00244
5130,1.00267
5140,1.00269
5150,1.00281
5160,1.00262
5170,1.00242
5180,1.00223
5190,1.00225
5200,1.00227
5210,1.00197
5220,1.00199
5230,1.00222
5240,1.00203
5250,1.00184
5260,1.00176
5270,1.00157
5280,1.00138
5290,1.0014
5300,1.00122
5310,1.00114
5320,1.00116
5330,1.00118
5340,1.0014
5350,1.00132
5360,1.00134
5370,1.00136
5380,1.00138
5390,1.0015
5400,1.00131
5410,1.00133
5420,1.00135
5430,1.00127
5440,1.00119
5450,1.00121
5460,1.00103
5470,1.00105
5480,1.00127
5490,1.00109
5500,1.00121
5510,1.00103
5520,1.00105
5530,1.00097
5540,1.00089
5550,1.00101
5560,1.00093
5570,1.00095
5580,1.00087
5590,1.0007
5600,1.00062
5610,1.00064
5620,1.00056
5630,1.00087
5640,1.00089
5650,1.00082
5660,1.00084
5670,1.00076
5680,1.00068
5690,1.0007
5700,1.00091
5710,1.00084
5720,1.00095
5730,1.00097
5740,1.00108
5750,1.00101
5760,1.00093
5770,1.00076
5780,1.00069
5790,1.00052
5800,1.00054
5810,1.00056
5820,1.00058
5830,1.0005
5840,1.00071
5850,1.00063
5860,1.00047
5870,1.00021
5880,1.00032
5890,1.00034
5900,1.00027
5910,1.0002
5920,0.999941
5930,0.999961
5940,1.00007
5950,0.999909
5960,0.999656
5970,0.999585
5980,0.999515
5990,0.999716
6000,0.999556
6010,0.999486
6020,0.999596
6030,0.999616
6040,0.999547
6050,0.999657
6060,0.999677
6070,0.999607
6080,0.999627
6090,0.999291
6100,0.999222
6110,0.998976
6120,0.998997
6130,0.998752
6140,0.998597
6150,0.998618
6160,0.998816
6170,0.998661
6180,0.998507
6190,0.998528
6200,0.998549
6210,0.998658
6220,0.998766
6230,0.998787
6240,0.998895
6250,0.999089
6260,0.998936
6270,0.998783
6280,0.998718
6290,0.998652
6300,0.998501
6310,0.998522
6320,0.998543
6330,0.998649
6340,0.998499
6350,0.99852
6360,0.998541
6370,0.998561
6380,0.998582
6390,0.998348
6400,0.998454
6410,0.998559
6420,0.998749
6430,0.998684
6440,0.998536
6450,0.998557
6460,0.998493
6470,0.998514
6480,0.998534
6490,0.998471
6500,0.998408
6510,0.998428
6520,0.998615
6530,0.998719
6540,0.998324
6550,0.998344
6560,0.998034
6570,0.998055
6580,0.998158
6590,0.998179
6600,0.998364
6610,0.998302
6620,0.998076
6630,0.998179
6640,0.998363
6650,0.998383
6660,0.99824
6670,0.998504
6680,0.998687
6690,0.998544
6700,0.998483
6710,0.998745
6720,0.998603
6730,0.998784
6740,0.998723
6750,0.998742
6760,0.998601
6770,0.99846
6780,0.998639
6790,0.998579
6800,0.998598
6810,0.998777
6820,0.998716
6830,0.998577
6840,0.998437
6850,0.998298
6860,0.998397
6870,0.998337
6880,0.998278
6890,0.998376
6900,0.998396
6910,0.998415
6920,0.998121
6930,0.998219
6940,0.998238
6950,0.998414
6960,0.998511
6970,0.998452
6980,0.998394
6990,0.998413
7000,0.998354
7010,0.998219
7020,0.998315
7030,0.998257
7040,0.998276
7050,0.998372
7060,0.998315
7070,0.998334
7080,0.998506
7090,0.998448
7100,0.998467
7110,0.998485
7120,0.998428
7130,0.998294
7140,0.998161
7150,0.998256
7160,0.998199
7170,0.998294
7180,0.998237
7190,0.998256
7200,0.998199
7210,0.998218
7220,0.998162
7230,0.99803
7240,0.997974
7250,0.998068
7260,0.997863
7270,0.997957
7280,0.997901
7290,0.997846
7300,0.998013
7310,0.997958
7320,0.998051
7330,0.998144
7340,0.998162
7350,0.998328
7360,0.99842
7370,0.998365
7380,0.998383
7390,0.998328
7400,0.998199
7410,0.998071
7420,0.99809
7430,0.998181
7440,0.998272
7450,0.998145
7460,0.998163
7470,0.998254
7480,0.998199
7490,0.998073
7500,0.997874
7510,0.99782
7520,0.997983
7530,0.998073
7540,0.998091
7550,0.998109
7560,0.998128
7570,0.998217
7580,0.998378
7590,0.998396
7600,0.998413
